sender_id,message,length_of_message,consulate_location,visa_status,Questions,University_name,VisaInterviewDate
-1001285729190,"My Visa experience - 07/08/2021
Approved✅
Delhi consulate
Slot Time : 9:10am ,
In time - 8.15 am , 
out - 9.30 am
Interview time (1 min)
Vo is an American in his late 30's 
Uni: Kennesaw State University
Course : Computer Science
http://t.me/f1interviewreviews

I think 5+ counters are open.
I got counter- 19

Vo: Please pass me ur passport n i20
Me: Good morning mam!(passed my docs)

Vo: Pass me your documents
Me. : Passed
Vo : Place your right hand fingers
Me : Placed.
Vo: So, Why are you going ?
Me : To pursue masters in computer science with Artificial Intelligence in Machine Vision as my specialisation

(He's rarely looking at me and kept on typing)

Vo : Why this university ?
Me : Kennesaw State University has a flexible course curriculum where I have the freedom of choosing subjects as per my area of interest. It is an R2 research university where we can find high research activity. The on going research in Machine Vision drew my attention and I'm eagerly waiting to pursue master's in this university. 

Vo : What were you doing now ? 
Me : I'm a recently passed out under graduate student in Computer Science engineering. 
Vo : What is your specialisation ?
Me : Artificial Intelligence
Vo : What about funding ?
Me : My father owns an electronic store and my mother is a professor.
Vo : Combined annual income ?
Me : 22LPA

Vo : Your visa is approved. Have a nice stay in US.

Literally me burst into tears and said thank you officer you made my day. I don't know why I'm getting tears but I couldn't control. It was my dream since childhood to go abroad. Nd this day will be forever memorable. After long struggle luckily I got slot when they released first time. Previous was May 7th. 

I went twice to Embassy and I could find more number of approvals nearly 95% are getting their visa. I have seen a guy fumbled and stammering and still his visa approved. My strong suggestion is that Be in formal attire and give your best in confident manner. Surely you will get. Carry all documents and some people were asked too. Be prepared and don't get nervous. VO are very friendly and they will try to give you approval if you do your job. 

All the best guys. I pray and I wish your dreams come true. Thanks to this channel for posting all the experiences. It's just boosting and also more helpful for anyone like me or the other. 

Stay safe | 😊
@f1interviewreviews",2387,delhi,approved,"['vo: so, why are you going ?', 'vo : why this university ?', 'vo : what were you doing now ? ', 'vo : what is your specialisation ?', 'vo : what about funding ?', 'vo : combined annual income ?']",Kennesaw State University,May 7th
-1001285729190,"9th July 2021
Location: Hyderabad
Appointment:Emergency
Slot time:9:30 am
In time: 8:15 am
Out time:8:30am
Univ : University of North Texas
Status: Approved✅
http://t.me/f1interviewreviews

VO was American woman in her 30s.

VO:Good morning.
Me: Hello, Good morning.

VO: Please pass your passport & documents.

Me: Passed

VO: So, University of North texas? 
Me: Yes officer!

VO:  So what is the course your planning to take?
Me: To pursue my masters in computer science from University of North Texas

VO: What does your family do for a living?
Me: My father is a senior branch manager in xxx and he is sponsoring me, he has a savings of xxx and I have an education loan of xxx and immovable assets of xxx.

VO: When did you completed your graduation ?
Me : I graduated in 2020 from xxx and my undergrad course is xxx

VO: Okay. Place your left four fingers and Your visa is approved
Me: Thankyou mam.
@f1interviewreviews",924,hyderabad,approved,"['vo:  so what is the course your planning to take?', 'vo: what does your family do for a living?', 'vo: when did you completed your graduation ?']",University of North Texas,9th July 2021
-1001285729190,"July 9th
Hyderabad Consulate
In time 10:25
http://t.me/f1interviewreviews
Out time 10:40
University name: University of Connecticut
Status: Approved (45 seconds max)
Appointment time 11:00 AM
Counter 12
VO was a white American lady, super chill and very nicely spoken.
2 other counters were open.

Me: Good morning, Ma’am.
VO: Good morning.
VO: Please hold your passport through the screen this way (showed how to)
Me: Held the passport
VO: Can you please pass your I-20 from below the glass?
Me: Passed I-20
VO: When did you graduate?
Me: I graduated in 2017
VO: What did you do since then?
Me: I was working in XXX MNC for the past 3.5 years as an analyst.
VO: That’s nice. What are you going to pursue in this University?
Me: I am going to pursue Masters in Business Analytics.
VO (typed for 10 seconds): Why this course?
Me: Told
VO: How are you sponsoring?
Me: Told
VO typed for 10 seconds. Looked at me and typed for another 5-10 seconds.

VO: Take your I-20.
She didn’t speak anything for 5 seconds. I got scared for a while and was looking at her for her reply.
VO: Drop your VISA in the box there. I'm approving your visa.
Me: Thank you so much, Ma’am.
VO: Have a good stay at USA. Have fun.
Me: Thank you, Ma’am.
She was as excited as I was after approving. Very nicely replied.
@f1interviewreviews",1308,hyderabad,approved,"['vo: can you please pass your i-20 from below the glass?', 'vo: when did you graduate?', 'vo: what did you do since then?', 'vo: that’s nice. what are you going to pursue in this university?', 'vo (typed for 10 seconds): why this course?', 'vo: how are you sponsoring?']",University of Connecticut,July 9th
-1001285729190,"9th July 2021
Chennai VAC(July 4) and VI
Appointment: Regular
University: JHU
http://t.me/f1interviewreviews
Slot: 10 am
In-time: 10.20
Out time: 11
Interview duration: 1 min
Status: Approved
Counter no 29
I20 amount: 79220
The VO was a cute white lady

Me: Good morning
Vo: Please pass me your passport
And your sevis fee reciept and i20 
Me: (passes it)
Vo: What did you do your undergrad in?
Me: I've done my UG in Electronics and Communication engineering
Vo: When did you graduate?
Me: I will be graduating this year, I'm waiting for my results
Vo: CGPA?
Me: It's 8.37
Vo: What course will you be doing?
Me: I will be doing Masters in Data Science, and specialising in Computational genomics
Vo: Computational-- sorry I didn't hear that
Me: Genomics
Vo: What are your plans after Masters?
Me: I will be coming back to India and go to work at Biopharm firms such as Biocon
Vo:Who will be funding you?
Me: my father will be my main sponsor, he earns 65lpa, with dedicated savings of 60L, as well as a scholarship of 8551 dollars, and we have immovable assets worth XX crores
Vo:Please place your 4 right fingers on the scanner, your visa is approved.
Me: Thank you
She gave me a green slip
After I left and was walking to the  exit, they called me back in, I went back to the counter and she told me that my fingers didn't scan properly, ans she asked me to put my left four fingers.

The Vo was very nice, she kept nodding, and that was super encouraging
@f1interviewreviews",1478,chennai,approved,"['vo: what did you do your undergrad in?', 'vo: when did you graduate?', 'vo: cgpa?', 'vo: what course will you be doing?', 'vo: what are your plans after masters?', 'vo:who will be funding you?']",,9th July 2021
-1001285729190,"Visa experience - 8/7/21 
Approved✅
Mumbai consulate
Slot Time : 8:40 AM ,
In time - 8 AM, 
out - 8:40 AM
Interview time (30sec) 
Counter : 28
http://t.me/f1interviewreviews

Vo is an american(male) in his late 30's
Uni: University of Missouri Kansas City
Course : Masters in computer science ( data science)

Vo: Please pass me ur passport n i20
Me: Good morning sir!(passed my docs) 

Vo: what is your study plan in U.S ? 
Me: To pursue my Masters in computer science at University of Missouri Kansas City.
After first question vo teared white slip and kept my passport .

Vo: Tell me about your undergraduate?
Me: i completed my undergraduate in the stream of computer science and engineering (interrupted)
Vo: Do you have loan?
Me: yes I have loan of 20 lakhs and savings of 27 lakhs .

Vo: okay. Your visa is approved and u can collect ur passport in 5 days.

This group helped me alot. Thank u everyone who made time and wrote their experiences.
And all the best to everyone who is gonna attend visa in the comings days.
@f1interviewreviews",1046,mumbai,approved,"['vo: what is your study plan in u.s ? ', 'vo: tell me about your undergraduate?', 'vo: do you have loan?']",University of Missouri Kansas City,
-1001285729190,"Consulate: Delhi
VI date: 9th July 2021
Status: Approved ✅

Slot Time : 011:30 AM
In: 11:15 AM
Out: 11:40 AM

Counter: 17 (4 counters were open)
Interview time: 1-2 minutes
VO: Mid age American Man.
Uni: Carnegie Mellon University
Program: MPS (Design)
http://t.me/f1interviewreviews


VO: Hey! Good Morning, Please pass me your passport and I-20
Me: Good Morning! Here is my passport and I-20

VO: Why this course?
Me: I have been working in design from the past 5 years and I feel I need to study more and further my skill set in service design which is a specialisation within design. 

VO: How are you funding your study?
Me: My father will be sponsoring me.

VO: What does he do?
Me: He has been a captain with Air India for 16 years. 

VO: What is his annual income?
Me: He is retired now and I am not entirely sure about his exact annual income. It is around xx—xxL per annum. I have his ITR with me, so I will just show it to you. 

VO: No no, that is alright. Your visa is approved! you will get it in 5 days. You can travel 30 days before your start date and please pay attention to covid vaccination and quarantine guidelines. All the best
Me: Thank you so much, have a great day! 

It was all very quick. I actually over-rehearsed my answers and finally got nervous there but I think they are used to that kind of stuff. As long as you answer promptly and precisely, there shouldn’t be any issue. I didnt see any rejections around me.
@f1interviewreviews",1466,delhi,approved,"['vo: why this course?', 'vo: how are you funding your study?', 'vo: what does he do?', 'vo: what is his annual income?']",Carnegie Mellon University,9th July 2021
-1001285729190,"9th July 2021
Consulate: Kolkata
Appointment: Regular
Slot time: 9:30AM
In time: 9:20AM
Out time: 10:50AM
http://t.me/f1interviewreviews
University of California, Irvine (MS NetSys)
Interview duration: 1-2 min
Status: Approved ✅
Counter 5: African Male

Me: Good Morning, Sir
VO: Morning, pass me your Passport and i20 
Passed to him

VO: What is your course of study?
Me: I’ll be pursuing my Masters in Networked Systems from UC Irvine.

VO: Tell me about networked systems!
Me: Explained it.

VO: Can you state a real life example involving Networks?
Me: Stated 2 examples.

VO: Who is supporting you financially?
Me: Told about the Liquid assets, about my loan and while I was talking about my parents occupation, VO interrupted by saying,
""Your VISA is approved!""

Me: Thank you so much!!

There were few rejections today in Kolkata, mainly from the counter 4 (Chinese Male)
@f1interviewreviews",898,kolkata,approved,"['vo: what is your course of study?', 'vo: can you state a real life example involving networks?', 'vo: who is supporting you financially?']","University of California, Irvine",9th July 2021
-1001285729190,"Visa experience - 09/07/2021
Approved ✅ 
Delhi consulate
Slot Time : 10:20 am
In time - 09:30

out - 10:10
Interview time : 40 sec
Vo is an Chaines men in his early 35's
http://t.me/f1interviewreviews

Uni: University of Southern mississippi 
Course : MS in CS

I got counter - 13

Vo: Please pass me ur passport and i20
Me: sure sir (passed my docs)

He started with funding 

Vo: How are you funding your trip?
Me:  I have an educational loan of 25 lakhs on top of it my parents have savings of 20 lakhs .

VO: what you're father will do?Me : He is a business man he owns a stone crusser.

Vo : How much annually income?
Me : 12 L


Vo: why u have chosen this university?
Me: Mainly because of flexibility of curriculum (interrupted....)

Vo: every university will provide flexibility in course why this university?
Me : there is an ongoing research on ML under supervision of Dr. Benerjee which aliens with my area of interest.

Vo: what in ML?
Me : On NLP.

VO: what is NLP ? 
( when he asked about NLP. I was little bit nervous at that time.)
Me: sir, it's a technique used to help computers to understand the human language and respond back in humans native language.
( after my response he asked me your are bit nervous right , yes sir a bit nervous . 

Vo: He said be cool man your visa is approved. 
Me: thank you so much sir,  you made my day.

@f1interviewreviews",1374,delhi,approved,"['vo: how are you funding your trip?', ""vo: what you're father will do?me : he is a business man he owns a stone crusser."", 'vo : how much annually income?', 'vo: why u have chosen this university?', 'vo: every university will provide flexibility in course why this university?', 'vo: what in ml?', 'vo: what is nlp ? ']",University of Southern mississippi,
-1001285729190,"09/07/2021
Kolkata
Regular: Appointment 
Status: rejected
Slot time:8:30am
http://t.me/f1interviewreviews
In-time: 8:15am
out-time: 8:40am

VO was an Chinese guy

University: Texas a&m-kingsvill
The Interview barely lasted for 3 minutes

1)tell me about your program
Ans - Tokd

2) any specialization
Ans- told

3)tell me about the subjects in your course
Ans:told

4) what's ur plan after masters?
Ans - I will come back to India and work in top most companies like?
Tata motors, Daimler 

5)tell me about kingsville
I am not prepared to that question
I told about state where the city is located and weather conditions in that city

6)tell me about your funding
Ans:told

Tips - 
Be confident 
Be cool 
Answer to the point
@f1interviewreview",743,kolkata,rejected,"[""4) what's ur plan after masters?"", 'ans - i will come back to india and work in top most companies like?']",,
-1001285729190,"OFC: 29 June
VI 9: July
Slot time: 10:20
In time 10:10
Out time 11:30
http://t.me/f1interviewreviews
Status: emergency
Consulate: Mumbai
1st attempt
Status - ACCEPTED✅

Counter  :  32
Univ- California State University Long Beach.

VO: please pass me your i20 and passport
Me: passed
VO: why are you going to us?
Me: I'm going to US to pursue my master's in Computer Science at CSULB
VO: who is funding?
Me: (Told)
VO: what do your father do?
Me: (told about both parents occupation and included thier combined income)
VO: please place your right 4 fingers on the scanner, Your visa is approved, you'll get it in a week.
Me: thank you so much


This group really helped me alot
Thanks.
@f1interviewreviews",704,mumbai,approved,"['vo: why are you going to us?', 'vo: who is funding?', 'vo: what do your father do?']",California State University Long Beach,29 June
